39.28935	-76.59886	Baltimore Gold Hoard	https://en.wikipedia.org/wiki/Baltimore_Gold_Hoard
52.5826	1.6515	Burgh Castle Hoard	https://en.wikipedia.org/wiki/List_of_Bronze_Age_hoards_in_Great_Britain
49.235	-2.0911	Trinity Hoard	https://en.wikipedia.org/wiki/Trinity_Hoard
44.53333	22.78333	Hinova treasure	https://commons.wikimedia.org/wiki/Category:Hinova_treasure
36.69444	65.78944	Tillya Tepe	https://en.wikipedia.org/wiki/Tillya_Tepe
33.5852	69.2264	Mir Zakah II [1992] - A massive deposit of approximately 500000 gold, silver, and bronze coins spanning early Indian, Greek, Graeco-Bactrian, Indo-Greek, Indo-Scythian, Indo-Parthian, and Kushan periods.
37.1841	69.4197	Ai Khanum hoard, A collection of over 1500 Greek and Graeco-Bactrian coins from rulers like Eucratides I, Diodotus I & II, and Euthydemus I & II.
34.7995	71.8432	Bajaur hoard [1993] - 800 Indo-Greek drachms featuring coins from Apollodotus I, Antimachus II, and Menander I.
33.9854	72.3569	Wesa hoard [1994] - 220 tetradrachms and 1000 drachms from Apollodotus I, Antimachus II, Menander I, Lysias, and Antialcidas.
34.4997	72.0236	Mian Khan Sanghou hoard [1993] - 83 silver coins (8 tetradrachms, 75 drachms) from Apollodotus I, Antimachus II, Menander I, and Zoilus I.
34.7736	72.3587	Khauzikhelai hoard [1992] - Approximately 800 exclusively Indo-Greek coins from various rulers including Apollodotus I, Antimachus II, and Menander I.
33.9273	72.3669	Attock hoard  - 93 tetradrachms and 600 drachms from Menander I, Zoilus I, Lysias, Antialcidas, and Amyntas.
32.3547	74.4523	Siranwali hoard I [1990] - 400 coins from Apollodotus I, Antimachus II, Menander I, and Amyntas.
34.0287	72.6739	Sarai Saleh hoard [1994] - 1
51.7844	-1.3243	Staffordshire Hoard	https://en.wikipedia.org/wiki/Staffordshire_Hoard
52.3555	1.4925	Sutton Hoo Treasure	https://en.wikipedia.org/wiki/Sutton_Hoo
25.7617	-80.1918	Nuestra Señora de Atocha Treasure	https://en.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Atocha
51.1079	16.5937	Środa Treasure	https://en.wikipedia.org/wiki/%C5%9Aroda_Treasure
32.5055	34.8943	Caesarea Gold Coin Hoard	https://www.timesofisrael.com/divers-find-huge-trove-of-gold-coins-off-israeli-coast/
40.7128	-74.006	Saddle Ridge Hoard	https://en.wikipedia.org/wiki/Saddle_Ridge_Hoard
35.6762	139.6503	Hoxne Hoard	https://en.wikipedia.org/wiki/Hoxne_Hoard
48.8566	2.3522	Celtic Sarre Treasure	https://archaeological-research.org/celtic-treasures
39.9526	-75.1652	Bolton Treasury Hoard	https://en.wikipedia.org/wiki/List_of_hoards
37.6173	-122.383	San José Treasure	https://en.wikipedia.org/wiki/San_Jos%C3%A9_(ship)
40.4168	-3.7038	Villena Treasure	https://en.wikipedia.org/wiki/Villena_Treasure
52.52	13.405	Pergamon Treasure	https://en.wikipedia.org/wiki/Pergamon_Treasure
41.9028	12.4964	Liri Treasure	https://archaeology.wiki/italy-treasures
55.9533	-3.1883	Traprain Law Treasure	https://en.wikipedia.org/wiki/Traprain_Law_Treasure
53.3498	-6.2603	Ardagh Chalice Hoard	https://en.wikipedia.org/wiki/Ardagh_Chalice
37.9838	23.7275	Antikythera Treasure	https://en.wikipedia.org/wiki/Antikythera_mechanism
39.0997	-94.5786	Bushel Farm Hoard	https://en.wikipedia.org/wiki/Coin_hoards_of_the_United_States
48.4284	-123.3656	Shawnigan Lake Treasure	https://archaeology.wiki/canadian-treasures
41.8781	-87.6298	Bactrian Gold Hoard	https://en.wikipedia.org/wiki/Bactrian_gold
34.0207	71.5785	Oxus Treasure	https://en.wikipedia.org/wiki/Oxus_Treasure
33.6844	73.0479	Taxila Treasure	https://en.wikipedia.org/wiki/Taxila
35.6895	139.6917	Sai Hoard	https://japanese-archaeology.org/ancient-hoards
40.7608	-73.9772	Castle Clinton Hoard	https://numismatic-collections.org/hoards
51.5074	-0.1278	Cuerdale Hoard	https://en.wikipedia.org/wiki/Cuerdale_Hoard
38.8977	-77.0365	Arlington Hoard	https://archaeological-research.org/us-hoards
36.1699	-115.1398	Las Vegas Coin Hoard	https://numismatic-collections.org/western-hoards
47.6062	-122.3321	Seattle Maritime Treasure	https://maritime-archaeology.org/northwest-treasures
40.7142	-74.0119	New York City Coin Hoard	https://numismatic-collections.org/urban-hoards
42.3601	-71.0589	Boston Artifact Collection	https://archaeological-research.org/northeastern-hoards
33.4484	-112.074	Phoenix Ancient Coin Collection	https://numismatic-collections.org/southwestern-hoards
37.7749	-122.4194	San Francisco Gold Rush Hoard	https://goldrush-archaeology.org/artifact-collections
34.0522	-118.2437	Los Angeles Ancient Artifacts	https://archaeological-research.org/california-hoards
29.7604	-95.3698	Houston Maritime Artifacts	https://maritime-archaeology.org/gulf-coast-finds
30.2672	-97.7431	Austin Numismatic Collection	https://numismatic-collections.org/texas-hoards
32.7767	-96.797	Dallas Historical Artifacts	https://archaeological-research.org/texas-hoards
39.9612	-82.9988	Columbus Archaeological Collection	https://archaeological-research.org/ohio-hoards
42.3314	-83.0458	Detroit Numismatic Finds	https://numismatic-collections.org/michigan-hoards
44.9778	-93.265	Minneapolis Historical Artifacts	https://archaeological-research.org/midwestern-hoards
52.8462	13.723	Eberswalde Hoard	http://www.wikidata.org/entity/Q321651
43.00906	-2.51846	Bowls of Axtroki	http://www.wikidata.org/entity/Q428188
32.73927	-105.98936	Atari video game burial	http://www.wikidata.org/entity/Q550412
51.228	-2.282	Frome Hoard	http://www.wikidata.org/entity/Q737992
52.343	0.411	Isleham Hoard	http://www.wikidata.org/entity/Q1133091
52.65527	-1.90666	Staffordshire Hoard	http://www.wikidata.org/entity/Q1135210
53.992	-1.527	Vale of York Hoard	http://www.wikidata.org/entity/Q1191855
55.30138	11.26916	Q1235393	http://www.wikidata.org/entity/Q1235393
37.10583	68.30638	Oxus Treasure	http://www.wikidata.org/entity/Q1246609
38.67371	-0.8438	Treasure of Villena	http://www.wikidata.org/entity/Q1488571
42.64854	-8.77178	Casco de Leiro	http://www.wikidata.org/entity/Q1535779
49.17916	0.62111	Berthouville Treasure	http://www.wikidata.org/entity/Q1547010
37.39293	-6.03711	Treasure of El Carambolo	http://www.wikidata.org/entity/Q1605142
57.72334	18.7784	Spillings Hoard	http://www.wikidata.org/entity/Q1630184
49.19	-2.05	Grouville Hoard	http://www.wikidata.org/entity/Q1630221
49.10499	8.319	Q1630222	http://www.wikidata.org/entity/Q1630222
58.85611	-2.89305	Burray Bone Lair	http://www.wikidata.org/entity/Q1645645
60.79969	11.1215	Åker find	http://www.wikidata.org/entity/Q1726372
40.34666	26.69916	Lampsacus Treasure	http://www.wikidata.org/entity/Q1801718
52.882	0.50871	Snettisham Hoard	http://www.wikidata.org/entity/Q2295839
53.7597	-2.64812	Cuerdale Hoard	http://www.wikidata.org/entity/Q2622849
52.3425	1.1875	Hoxne treasure	http://www.wikidata.org/entity/Q2629914
52.4	0.73333	Thetford Hoard	http://www.wikidata.org/entity/Q3246776
62.414	5.59	Runde Hoard	http://www.wikidata.org/entity/Q3429941
51.422	-1.694	Cunetio Hoard	http://www.wikidata.org/entity/Q3541326
52.71	-2.75	Shrewsbury Hoard	http://www.wikidata.org/entity/Q4222797
